"","Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
"1",0,"Background",0,8.568,72.847,0.11761637404423
"2",0,"Airpore Old 1",1,6.855,66.771,0.102664330323044
"3",0,"Airpore Old 2",2,7.402,70.317,0.10526615185517
"4",0,"Airpore Old 3",3,5.263,49.732,0.105827233974101
"5",0,"Airpore Medium 1",4,7.043,63.278,0.111302506400329
"6",0,"Airpore Medium 2",5,6.426,72.91,0.0881360581538884
"7",3,"Background",0,8.603,72.441,0.118758713987935
"8",3,"Airpore Old 1",1,6.894,66.053,0.104370732593523
"9",3,"Airpore Old 2",2,7.483,71.267,0.104999508889107
"10",3,"Airpore Old 3",3,5.137,50.044,0.102649668291903
"11",3,"Airpore Medium 1",4,7.079,64.384,0.10994967693837
"12",3,"Airpore Medium 2",5,6.901,72.367,0.0953611452733981
"13",6,"Background",0,8.63,71.473,0.120744896674269
"14",6,"Airpore Old 1",1,7.049,65.635,0.107396968081054
"15",6,"Airpore Old 2",2,7.688,70.413,0.109184383565535
"16",6,"Airpore Old 3",3,5.305,49.608,0.106938397032737
"17",6,"Airpore Medium 1",4,7.214,63.42,0.113749605802586
"18",6,"Airpore Medium 2",5,6.47,72.823,0.088845557035552
"19",9,"Background",0,8.572,70.438,0.121695675629632
"20",9,"Airpore Old 1",1,6.923,65.197,0.106185867447889
"21",9,"Airpore Old 2",2,7.755,69.74,0.111198738170347
"22",9,"Airpore Old 3",3,5.164,48.397,0.106700828563754
"23",9,"Airpore Medium 1",4,7.066,63.17,0.111856894095298
"24",9,"Airpore Medium 2",5,6.56,72.255,0.0907895647360044
"25",12,"Background",0,8.656,69.402,0.124722630471744
"26",12,"Airpore Old 1",1,7.064,64.407,0.109677519524275
"27",12,"Airpore Old 2",2,7.718,69.546,0.110976907370661
"28",12,"Airpore Old 3",3,5.218,47.962,0.10879446228264
"29",12,"Airpore Medium 1",4,7.17,62.635,0.114472738884011
"30",12,"Airpore Medium 2",5,6.607,71.105,0.0929189227199212
"31",15,"Background",0,8.647,68.2,0.126788856304985
"32",15,"Airpore Old 1",1,7.041,64.15,0.109758378799688
"33",15,"Airpore Old 2",2,7.384,69.592,0.106104149902288
"34",15,"Airpore Old 3",3,5.248,47.436,0.110633274306434
"35",15,"Airpore Medium 1",4,7.265,62.471,0.116293960397625
"36",15,"Airpore Medium 2",5,6.399,69.644,0.0918815691229682
"37",18,"Background",0,8.419,67.7,0.124357459379616
"38",18,"Airpore Old 1",1,6.774,64.621,0.104826604354622
"39",18,"Airpore Old 2",2,7.716,69.564,0.110919441090219
"40",18,"Airpore Old 3",3,5.002,46.947,0.106545679170128
"41",18,"Airpore Medium 1",4,7.036,61.845,0.113768291696984
"42",18,"Airpore Medium 2",5,6.384,70.182,0.0909634949132256
"43",21,"Background",0,8.489,67.144,0.126429762897653
"44",21,"Airpore Old 1",1,6.781,63.672,0.106498932026637
"45",21,"Airpore Old 2",2,7.312,69.577,0.105092200008624
"46",21,"Airpore Old 3",3,5.157,45.986,0.112142826077502
"47",21,"Airpore Medium 1",4,7.126,62.418,0.11416578551059
"48",21,"Airpore Medium 2",5,6.601,69.038,0.0956140096758307
"49",24,"Background",0,8.238,66.801,0.123321507163066
"50",24,"Airpore Old 1",1,6.761,63.299,0.106810534131661
"51",24,"Airpore Old 2",2,7.661,68.985,0.111053127491484
"52",24,"Airpore Old 3",3,5.039,45.813,0.109990614017855
"53",24,"Airpore Medium 1",4,7.056,62.766,0.112417550903355
"54",24,"Airpore Medium 2",5,6.412,68.517,0.0935826145336194
"55",27,"Background",0,8.23,66.378,0.123986863117298
"56",27,"Airpore Old 1",1,6.878,64.301,0.106965677050124
"57",27,"Airpore Old 2",2,7.334,69.625,0.105335727109515
"58",27,"Airpore Old 3",3,5.096,45.737,0.111419638367186
"59",27,"Airpore Medium 1",4,7.128,63.061,0.113033412093053
"60",27,"Airpore Medium 2",5,6.405,68.665,0.0932789630816282
"61",30,"Background",0,8.242,66.042,0.124799370097817
"62",30,"Airpore Old 1",1,6.989,63.867,0.109430535331235
"63",30,"Airpore Old 2",2,7.326,68.781,0.106511972783181
"64",30,"Airpore Old 3",3,5.054,44.93,0.112486089472513
"65",30,"Airpore Medium 1",4,6.951,62.429,0.111342485063032
"66",30,"Airpore Medium 2",5,6.349,69.164,0.0917963102191892
"67",33,"Background",0,8.287,65.847,0.125852354701049
"68",33,"Airpore Old 1",1,6.524,64.216,0.101594618163698
"69",33,"Airpore Old 2",2,7.268,69.074,0.105220488172105
"70",33,"Airpore Old 3",3,4.797,44.873,0.106901700354333
